Sweeps,Channel 3
0,-16.8563118
1,-19.03557587
2,-33.00850296
3,-16.21535301
4,2.244294643
5,45.82957077
6,24.0369339
7,66.21209717
8,10.96135044
9,-12.75416851
10,12.75603771
11,-7.37010479
12,-21.08664703
13,-25.06060028
14,-50.0580368
15,-19.03557587
16,27.88269234
17,76.08288574
18,64.80198669
19,37.11251831
20,-21.72760773
21,-32.62392807
22,-29.29093552
23,5.961862564
24,40.44550705
25,30.7029171
26,-11.85682487
27,-35.44415283
28,-32.88031006
29,-7.754680634
30,-33.90584564
31,-17.11269569
32,-32.62392807
33,15.31987762
34,21.34490204
35,33.01037216
36,47.23968506
37,14.03795815
38,7.628358364
39,-54.28837585
40,-19.67653656
41,-23.00952721
42,39.29178238
43,36.47155762
44,34.54867554
45,8.525702477
46,13.78157425
47,-1.088697195
48,-12.75416851
49,-14.67704868
50,10.70496655
51,18.52467728
52,-1.473273158
53,44.6758461
54,41.47104263
55,20.31936646
56,7.24378252
57,-8.523832321
58,-13.90789604
59,-28.52178383
60,9.679430008
61,10.70496655
62,-3.139769077
63,-4.293497086
64,-15.06162453
65,-10.31852055
66,-0.191353187
67,-18.13823128
68,-19.93292046
69,68.26316833
70,45.06042099
71,60.44345856
72,57.6232338
73,36.47155762
74,35.31782913
75,23.13958931
76,-2.755192995
77,-26.85528755
78,14.16615009
79,-21.21483994
80,3.910790682
81,-23.13772011
82,-21.47122383
83,13.52519035
84,70.57062531
85,40.18912506
86,-3.139769077
87,3.782598495
88,-21.85580063
89,0.9623747468
90,16.72999001
91,38.65082169
92,1.346950769
93,23.13958931
94,-13.77970409
95,-10.83128834
96,-8.267448425
97,22.75501442
98,41.21466064
99,32.75399017
100,20.31936646
101,-16.8563118
102,11.73050213
103,-25.82975197
104,49.03437042
105,9.935813904
106,8.782086372
107,-44.41759109
108,-34.54680634
109,-32.75212097
110,21.34490204
111,40.57369995
112,5.1927104
113,-1.088697195
114,-4.421689034
115,14.93530178
116,-12.24140072
117,-18.13823128
118,5.1927104
119,6.346438408
120,11.34592628
121,47.75245285
122,41.08646774
123,34.29229355
124,-2.242424965
125,-32.49573517
126,-10.31852055
127,16.21722221
128,50.8290596
129,20.96032524
130,15.70445347
131,-18.90738487
132,-37.75160599
133,43.26573181
134,35.70240402
135,12.49965382
136,-0.83231318
137,-5.062648773
138,43.13753891
139,22.11405373
140,13.9097662
141,-10.70309639
142,3.141638517
143,-25.95794296
144,-25.95794296
145,-11.08767223
146,-20.83026314
147,24.42150879
148,33.01037216
149,14.93530178
150,-3.267961025
151,7.628358364
152,-13.2669363
153,-34.29042435
154,-36.21330261
155,-0.83231318
156,13.78157425
157,18.78106117
158,11.98688602
159,22.37043762
160,-9.292984962
161,-8.652024269
162,0.7059907913
163,-30.82923889
164,6.090054512
165,-4.934456825
166,-15.95896816
167,-33.64946365
168,-1.601465106
169,-3.524344921
170,52.49555588
171,15.31987762
172,43.9066925
173,-17.62546349
174,-7.626488686
175,-28.77816772
176,-8.267448425
177,21.98586082
178,10.96135044
179,18.78106117
180,-49.67346191
181,13.78157425
182,-14.42066479
183,25.83162117
184,-2.498809099
185,10.44858265
186,2.500678539
187,-27.62443924
188,-25.06060028
189,-40.57183075
190,0.8341827393
191,-2.755192995
192,38.00986099
193,18.65287018
194,43.00934982
195,14.29434204
196,-18.26642418
197,-16.7281208
198,-13.77970409
199,-2.114233017
200,18.65287018
201,46.08595657
202,14.29434204
