Sweeps,Channel 2
0,-31.48526192
1,-13.15380669
2,11.58724785
3,-10.20539093
4,-19.0506382
5,19.53515244
6,4.408496857
7,-15.3330698
8,-22.38363075
9,18.76600075
10,-20.97351837
11,-52.3805542
12,40.68683243
13,-21.48628616
14,-9.692622185
15,10.17713642
16,-14.43572617
17,-31.86983681
18,-23.15278244
19,-5.462286949
20,9.792560577
21,-20.97351837
22,9.664368629
23,3.511152744
24,-24.69108582
25,-5.590478897
26,30.17508698
27,-23.28097343
28,-2.898447037
29,15.94577599
30,-42.50977325
31,-16.87137413
32,32.48254395
33,-36.61294174
34,-5.590478897
35,16.71492767
36,-35.71559525
37,14.9202404
38,-3.154830933
39,-10.33358288
40,-39.0485878
41,5.562224388
42,-6.616014481
43,4.408496857
44,-16.87137413
45,-11.87188625
46,15.68939209
47,-11.74369431
48,0.5627368689
49,-21.10170937
50,23.63729477
51,-16.48679733
52,-32.8953743
53,38.37937546
54,-35.07463837
55,-17.89690971
56,18.12504005
57,-1.10375905
58,-15.84583855
59,-26.61396599
60,8.254256248
61,-24.69108582
62,-17.89690971
63,12.86916828
64,-27.38311768
65,-11.23092651
66,26.07294273
67,-29.30599785
68,-16.23041344
69,0.4345448613
70,-19.81978989
71,10.68990421
72,9.536176682
73,-29.30599785
74,-0.206415087
75,4.408496857
76,-27.38311768
77,1.460080862
78,-28.28046227
79,-15.84583855
80,14.5356636
81,-43.79169083
82,-15.46126175
83,-9.692622185
84,-3.923982859
85,-23.79374123
86,-9.692622185
87,-7.256974697
88,-10.58996677
89,-9.308046341
90,-1.744719028
91,-5.205902576
92,-23.40916634
93,5.177648544
94,11.84363174
95,-30.71611023
96,-5.077710629
97,15.04843235
98,-24.94746971
99,-11.23092651
100,15.68939209
101,-5.205902576
102,-28.53684616
103,22.48356819
104,-29.43418884
105,-1.360143065
106,-5.846862793
107,-27.63950157
108,-11.10273457
109,-8.282510757
110,0.8191208839
111,7.741488457
112,-11.61550236
113,-27.38311768
114,-8.282510757
115,11.33086395
116,-17.38414192
117,-3.795790911
118,13.12555218
119,-22.38363075
120,-36.22836685
121,21.07345581
122,-25.5884304
123,-19.17882919
124,26.32932663
125,-3.154830933
126,-15.07668591
127,-55.84173965
128,14.40747166
129,-19.17882919
130,0.0499688983
131,33.12350464
132,-51.48321152
133,-2.898447037
134,14.5356636
135,-14.43572617
136,-3.795790911
137,7.997872353
138,-11.87188625
139,0.3063528836
140,23.12452698
141,-17.25595093
142,-3.667598963
143,-20.07617378
144,-28.53684616
145,40.55863953
146,-21.48628616
147,-10.84635067
148,23.12452698
149,-1.872910976
150,-37.63847733
151,8.638832092
152,-9.820814133
153,-0.3346070647
154,-18.6660614
155,-6.487822533
156,-27.63950157
157,-7.641550541
158,17.09950447
159,-11.23092651
160,-9.051662445
161,8.126064301
162,4.023920536
163,-25.4602375
164,8.510640144
165,-2.257487059
166,-35.20282745
167,9.151600838
168,10.56171227
169,-46.3555336
170,-30.07514954
171,21.07345581
172,-12.76922989
173,-9.436238289
174,1.972848773
175,-5.077710629
176,-30.33153343
177,11.7154398
178,19.79153633
179,11.58724785
180,-15.3330698
181,-14.43572617
182,-4.308558941
183,18.38142395
184,-36.10017395
185,18.12504005
186,-24.94746971
187,-34.94644547
188,-17.38414192
189,13.38193607
190,-6.231438637
191,-19.0506382
192,32.09796524
193,-31.48526192
194,-3.667598963
195,-34.04910278
196,17.74046326
197,0.3063528836
198,-14.69211006
199,24.27825546
200,-49.68852234
201,-1.231950998
202,-2.77025485
203,-17.12775803
204,13.51012802
205,16.97131157
206,-19.81978989
207,11.202672
208,44.40439987
209,-45.32999802
210,17.61227226
211,-25.4602375
212,-8.538894653
213,34.53361511
214,-9.692622185
215,-30.33153343
216,3.511152744
217,2.613808632
218,-25.20385361
219,1.58827281
220,-19.69159889
221,19.40695953
222,-27.25492477
223,-14.43572617
224,-1.10375905
225,-23.15278244
226,7.869680405
227,-16.48679733
228,-4.564942837
229,1.07550478
230,-13.28199863
231,-19.0506382
232,8.638832092
233,3.76753664
234,-20.84532547
235,-2.513870955
236,7.741488457
237,-25.97300529
238,-23.28097343
239,32.61073685
240,-34.30548477
241,5.049456596
242,11.58724785
243,-24.69108582
244,-14.82030201
245,9.151600838
246,-35.97198105
247,7.228720665
248,-17.38414192
249,1.972848773
250,-5.462286949
251,-0.9755670428
252,-6.744206905
253,-7.128782749
254,-6.872398853
