Sweeps,Channel 2
0,-12.38465405
1,26.32932663
2,-14.94849396
3,-1.488335013
4,-0.7191830873
5,-25.97300529
6,-12.51284599
7,19.27876854
8,-33.66452408
9,-26.1011982
10,10.68990421
11,-35.20282745
12,20.68887901
13,4.921264648
14,-28.53684616
15,-14.82030201
16,32.86711884
17,0.0499688983
18,-18.6660614
19,1.331888795
20,-26.22938919
21,11.7154398
22,-43.02254105
23,-12.38465405
24,14.79204845
25,-8.026126862
26,14.9202404
27,3.382960796
28,-24.94746971
29,-29.81876564
30,20.43249512
31,-25.07566071
32,17.09950447
33,-2.385679007
34,2.998384714
35,-28.66503716
36,15.43300819
37,-5.590478897
38,-3.411214828
39,-5.462286949
40,-18.28148651
41,-4.052175045
42,-10.20539093
43,3.382960796
44,-14.30753422
45,-12.12827015
46,24.66283226
47,50.55761337
48,28.6367836
49,-19.0506382
50,35.6873436
51,11.84363174
52,-8.282510757
53,26.45751953
54,-2.385679007
55,-15.7176466
56,-1.616526961
57,-4.180366993
58,-17.76871872
59,-19.43521309
60,-8.410702705
61,25.81655884
62,-13.15380669
63,-19.17882919
64,20.04792023
65,-11.35911846
66,-17.89690971
67,3.126576662
68,-17.64052582
69,-21.22990227
70,7.869680405
71,-26.48577309
72,-12.0000782
73,9.792560577
74,-39.0485878
75,19.79153633
76,11.202672
77,-36.99751663
78,-37.25390244
79,18.89419174
80,-20.97351837
81,12.35640049
82,11.4590559
83,8.638832092
84,-5.205902576
85,-23.15278244
86,-22.76820564
87,8.638832092
88,-27.89588547
89,-4.308558941
90,2.998384714
91,-20.97351837
92,-0.5909910798
93,12.61278439
94,-10.58996677
95,-24.81927681
96,22.99633598
97,-31.99802971
98,-21.99905396
99,31.71339035
100,-17.38414192
101,-1.360143065
102,39.91767883
103,9.792560577
104,-12.76922989
105,26.58571053
106,-29.81876564
107,-12.76922989
108,-29.17780495
109,-2.385679007
110,39.14852524
111,7.100528717
112,-43.27892303
113,24.66283226
114,-10.58996677
115,-5.975054741
116,-7.000590801
117,-6.487822533
118,-1.10375905
119,-8.282510757
120,-21.10170937
121,25.04740715
122,-39.68954849
123,-6.103246689
124,10.56171227
125,-17.12775803
126,12.86916828
127,-20.58894157
128,-7.256974697
129,-16.48679733
130,11.202672
131,-17.64052582
132,-15.97403049
133,7.869680405
134,-31.10068512
135,-20.07617378
136,9.664368629
137,-29.04961395
138,-18.9224453
139,0.3063528836
140,-4.949518681
141,-27.25492477
142,-44.81723022
143,-9.051662445
144,1.07550478
145,30.55966377
146,-7.256974697
147,-13.02561474
148,-43.91988373
149,-3.026638985
150,-0.3346070647
151,11.97182465
152,33.25169373
153,-8.795278549
154,4.793072701
155,9.664368629
156,17.61227226
157,3.895728588
158,12.35640049
159,-25.07566071
160,-7.256974697
161,22.48356819
162,9.407984734
163,-35.97198105
164,18.12504005
165,-21.74267006
166,-19.94798279
167,4.921264648
168,-12.2564621
169,-7.256974697
170,-24.30650902
171,-20.58894157
172,27.86763191
173,-34.17729187
174,2.742000818
175,20.30430412
176,19.40695953
177,-35.45921326
178,63.24862289
179,6.074992657
180,-19.69159889
181,24.91921616
182,-13.02561474
183,-24.05012512
184,7.741488457
185,-8.667086601
186,2.613808632
187,-37.76667023
188,-19.69159889
189,20.56068802
190,5.43403244
191,17.35588837
192,5.305840492
193,-10.84635067
194,-30.20334053
195,-3.026638985
196,4.408496857
197,9.023407936
198,4.023920536
199,-8.923470497
200,0.5627368689
201,-0.5909910798
202,-26.35758209
203,29.53412628
204,4.280304432
205,-2.513870955
206,9.023407936
207,32.35435104
208,-11.48731041
209,-29.30599785
210,27.73943901
211,8.382448196
212,-16.23041344
213,-13.92295837
214,-26.22938919
215,-2.642062902
216,-43.53530884
217,20.43249512
218,6.331376553
219,-15.46126175
220,-11.87188625
221,5.305840492
222,-21.48628616
223,-2.513870955
224,23.12452698
225,-29.30599785
226,-7.256974697
227,15.30481625
228,-7.769742489
229,-8.538894653
230,29.14955139
231,-7.897934437
232,-23.66555023
233,24.02187157
234,-29.81876564
235,0.6909288764
236,15.68939209
237,-25.5884304
238,33.76446152
239,-0.3346070647
240,-51.86778641
241,25.04740715
242,-0.07822309434
243,-19.43521309
244,-6.359630585
245,10.30532837
246,16.71492767
247,1.844656825
248,-24.94746971
249,1.07550478
250,-38.02305222
251,13.89470387
252,8.510640144
253,-11.48731041
254,2.742000818
255,-28.02407837
256,-14.69211006
257,-12.0000782
258,13.89470387
259,-12.51284599
260,-15.3330698
261,-4.180366993
262,-16.87137413
263,5.177648544
264,8.638832092
265,-18.9224453
266,-9.564430237
267,-5.718670845
268,-21.48628616
269,10.68990421
270,7.100528717
271,-35.45921326
272,-19.94798279
273,20.17611122
274,-6.744206905
275,7.613296509
276,0.5627368689
277,-24.81927681
278,-9.436238289
279,-16.99956703
280,4.280304432
281,16.20215988
282,-33.27994919
283,-4.564942837
284,6.331376553
285,-24.69108582
286,-8.026126862
287,11.4590559
288,-3.026638985
289,24.53463936
290,32.09796524
291,-3.923982859
292,13.51012802
293,-9.949006081
294,-21.10170937
295,4.023920536
296,-6.744206905
297,-11.87188625
298,-22.25543785
299,15.1766243
300,5.690416336
301,-23.53735733
302,41.58417511
303,28.5085907
304,-19.17882919
305,-45.84276581
306,69.91460419
307,-8.667086601
308,-0.7191830873
309,30.04689598
310,-12.89742279
311,-8.667086601
312,13.51012802
313,-8.795278549
314,29.79051208
315,-27.25492477
316,-9.179854393
317,-7.000590801
318,-1.744719028
319,14.02289581
320,4.921264648
321,-0.07822309434
322,-18.28148651
323,1.972848773
324,-15.84583855
325,-2.513870955
326,-6.487822533
327,-2.77025485
328,-3.795790911
329,4.280304432
330,-26.87034988
331,-2.77025485
332,11.84363174
333,-0.8473750353
334,-24.81927681
335,-14.17934227
336,32.48254395
337,8.254256248
338,-3.154830933
339,-13.02561474
340,-13.66657448
341,-1.488335013
342,8.895215988
343,-9.692622185
344,11.33086395
345,-32.51079559
346,-18.40967751
347,12.22820854
348,6.203184605
349,9.664368629
350,8.510640144
351,-14.17934227
352,-27.63950157
